date,hsi_high,hsi_close,hsi_low,hsi_open,hsi_volume,hsi_turnover,hscei_high,hscei_close,hscei_low,hscei_open,hscei_volume,hscei_turnover,kospi2_high,kospi2_close,kospi2_low,kospi2_open,kospi2_volume,kospi2_turnover,nky_high,nky_close,nky_low,nky_open,nky_volume,nky_turnover,xin9i_high,xin9i_close,xin9i_low,xin9i_open,xin9i_volume,xin9i_turnover,spx_high,spx_close,spx_low,spx_open,spx_volume,spx_turnover,tamsci_high,tamsci_close,tamsci_low,tamsci_open,tamsci_volume,tamsci_turnover,nifty_high,nifty_close,nifty_low,nifty_open,nifty_volume,nifty_turnover,hi1_open,hi1_high,hi1_low,hi1_close,hi1_volume,hi1_oi,hi2_open,hi2_high,hi2_low,hi2_close,hi2_volume,hi2_oi,hc1_open,hc1_high,hc1_low,hc1_close,hc1_volume,hc1_oi,hc2_open,hc2_high,hc2_low,hc2_close,hc2_volume,hc2_oi,nk1_open,nk1_high,nk1_low,nk1_close,nk1_volume,nk1_oi,nk2_open,nk2_high,nk2_low,nk2_close,nk2_volume,nk2_oi,km1_open,km1_high,km1_low,km1_close,km1_volume,km1_oi,km2_open,km2_high,km2_low,km2_close,km2_volume,km2_oi,es1_open,es1_high,es1_low,es1_close,es1_volume,es1_oi,es2_open,es2_high,es2_low,es2_close,es2_volume,es2_oi,xu1_open,xu1_high,xu1_low,xu1_close,xu1_volume,xu1_oi,xu2_open,xu2_high,xu2_low,xu2_close,xu2_volume,xu2_oi,tw1_open,tw1_high,tw1_low,tw1_close,tw1_volume,tw1_oi,tw2_open,tw2_high,tw2_low,tw2_close,tw2_volume,tw2_oi
20100104,22024.83,21823.28,21689.22,21860.04,1006199616,13395173,12928.77,12750.55,12642.1,12791.33,1241216640,10530514,223.49,223.49,221.66,221.67,85967328,3523472384,10694.49,10654.79,10608.14,10609.34,1043552640,544225408,12104.53,11836.68,11835.32,12024.53,2710537984,36402492,1133.87,1132.99,1116.56,1116.56,831826496,25790254,297.98,296.77,294.44,295.94,2334244222,77912839.7,5238.45,5232.2,5167.1,5200.9,148652416,65316068,21850,22049,21707,21801,60806,67360,21861,22043,21715,21800,509,264,12780,12950,12621,12725,27774,72232,12790,12930,12623,12718,201,235,10600,10700,10590,10640,38684,288955,10530,10650,10530,10600,173,30660,222.9,224.4,222.65,223.05,202269,107845,223.75,225.2,223.75,224.5,52,561,1113.75,1129.75,1113.25,1128.75,1282633,2440458,1110,1124.75,1109.75,1124,1641,3354,,,,11840,,,,,,11840,,,295.6,296.1,292.6,294.6,36918,182857,,,,294.7,,
20100105,22297.04,22279.58,21987.27,22092.15,1965584896,27782270,13157.77,13142.03,12868.65,12910.37,2684450816,23806618,224.4,222.84,222.18,224.24,153282176,5730530304,10791.04,10681.83,10655.57,10719.44,1662044672,1153793408,12031.24,11948.57,11685.35,11836.68,3644467200,52540028,1136.63,1136.52,1129.66,1132.66,982261056,28445072,299.43,297.36,295.32,298.57,2711023536,101392446.6,5288.35,5277.9,5242.4,5277.15,240844416,79696248,22079,22322,21983,22269,77326,73201,22065,22300,21990,22247,434,396,12920,13160,12855,13116,33217,74663,12887,13150,12861,13114,404,398,10780,10800,10660,10690,81005,299033,10720,10730,10600,10640,251,30666,224.95,224.95,222.65,223,282859,105659,225.4,225.4,223.3,224,145,932,1128.5,1133,1125,1132.25,1368386,2402850,1123,1128,1121.25,1127.5,686,3432,,,,11950,,,,,,11950,,,297.3,297.8,293.2,295.4,56935,182696,296.5,296.5,296.5,295.5,1,2
20100106,22514.79,22416.67,22277.13,22357.46,2100234240,31028544,13350.12,13246.21,13114.74,13175.11,2975137792,27154898,224.96,224.67,223.52,223.83,170500368,5169721856,10768.61,10731.45,10661.17,10709.55,1818097152,1116322944,11971.64,11806.98,11803.15,11948.57,3038689280,45267740,1139.19,1137.14,1133.95,1135.71,927104192,28741760,301.77,301.69,297.03,297.36,2896682332,109803978.1,5310.85,5281.8,5260.05,5278.15,216147840,78926024,22269,22550,22269,22429,68225,76743,22266,22539,22266,22425,908,756,13154,13376,13110,13246,40713,74400,13161,13366,13113,13240,701,679,10720,10780,10660,10710,68659,300896,10650,10710,10610,10660,158,30653,223.7,225.75,223.55,224.5,251925,107220,224.95,226.35,224.85,226.25,94,961,1132,1135.5,1127.25,1133,1252015,2396493,1126.75,1130.25,1122.5,1128,1163,3713,,,,11810,,,,,,11810,,,296,301.3,295.2,300.5,62725,180193,297.7,299.1,297.7,300.6,3,3
20100107,22548.03,22269.45,22169.61,22548.03,1495365376,24142214,13354.97,13073.2,13019.03,13354.97,2249536768,20423344,224.77,221.31,221.31,224.23,183416928,6344230400,10774,10681.66,10636.67,10742.75,1826421504,1154910464,11864.89,11559.78,11491.14,11806.98,3224689920,45689356,1142.46,1141.69,1131.32,1136.27,1069001344,31285502,303.07,298.66,298.41,301.74,3019963205,112226421.2,5302.55,5263.1,5244.75,5281.8,181246736,68909944,22538,22545,22188,22284,66836,77338,22501,22513,22180,22280,495,822,13337,13340,13005,13093,33099,73511,13257,13291,13000,13098,304,701,10730,10780,10640,10700,69979,299778,10680,10710,10590,10630,198,30628,224.95,225.3,221.8,221.9,292237,106149,226.25,226.25,222.5,222.5,80,956,1133,1138.75,1127,1137.5,1553963,2406352,1128.75,1133.5,1123,1132.5,1135,4154,,,,11565,,,,,,11570,,,301.1,302.1,297.6,298.7,62241,183802,299.1,299.1,299.1,298.8,1,2
20100108,22443.22,22296.75,22206.16,22282.75,1626022656,24005852,13131.05,13035.09,12952.18,13082.7,2128878208,18411144,222.81,222.66,219.15,222.65,157255200,5940584960,10816.45,10798.32,10677.56,10743.3,2117561344,1529587584,11577.2,11564.92,11396.64,11559.78,2349972480,34466980,1145.39,1144.98,1136.22,1140.52,871873600,27224636,300.19,299.83,296.09,299.11,2252551828,87833686.19,5276.75,5244.75,5234.7,5264.25,201910800,77770376,22340,22477,22242,22310,68010,78427,22303,22463,22237,22290,628,1001,13125,13156,12954,13052,30893,74074,13100,13140,12949,13050,217,690,10780,10830,10670,10810,80521,303801,10710,10760,10610,10750,266,30611,222.5,223.5,220.15,222.85,404153,104715,223.8,224,220.9,223.6,109,935,1137.25,1141.75,1131,1141.5,1508175,2758348,1132,1137,1126.5,1136.75,1080,17466,,,,11570,,,,,,11570,,,299.9,300,295.9,298.8,43295,185066,,,,298.8,,2
20100111,22671.92,22411.52,22373.96,22524.18,1744637824,23260562,13322.26,13119.03,13066.68,13246.86,2768928512,22118552,224.18,222.23,222.23,223.31,155386336,5729659904,,,,,,,12080.58,11578.88,11524.49,11564.92,4265111296,62907040,1149.74,1146.98,1142.02,1145.96,812147072,26645988,302.4,301.17,299.38,299.86,2285439858,81323033.66,5287.2,5249.4,5227.8,5263.8,238011952,110805504,22619,22710,22409,22508,69190,81335,22601,22690,22404,22498,1403,1511,13276,13350,13078,13174,32033,75404,13293,13332,13073,13162,886,1026,,,,,,,,,,,,,223.6,224.6,222.7,223,300423,108162,224.35,225.1,223.3,223.3,105,977,1141.75,1148,1137.75,1142.5,1444997,2427453,1137.25,1143,1133.25,1137.5,419,4638,,,,11580,,,,,,11585,,,299.6,301.9,298.3,300.5,29009,184282,,,,300.6,,2
20100112,22476.12,22326.64,22192.98,22378.23,2204776960,27748590,13102.72,12967.37,12915.36,13075.7,2951114496,23258738,223.39,223.04,220.86,222.5,121230520,4314996224,10905.39,10879.14,10763.68,10770.35,1928058752,1304489600,11746.77,11732.34,11382.12,11578.88,3896566016,52938404,1143.81,1136.22,1131.77,1143.81,966832832,30260910,302.08,300.22,298.52,301.19,1961757840,78290224.56,5300.5,5210.4,5200.95,5251.1,206748016,86484896,22491,22519,22203,22241,81062,83024,22455,22500,22199,22230,833,1564,13143,13144,12895,12909,34159,76987,13120,13127,12888,12908,344,788,10760,10910,10750,10890,74862,305484,10690,10840,10690,10830,210,30663,223,223.45,221.1,222.75,344239,103425,223.75,223.9,221.8,223.7,111,991,1141.25,1143,1127.75,1134,2089364,2439036,1136,1137.75,1123,1129,481,4765,,,,11735,,,,,,11740,,,300.1,301.1,297.6,300.3,41320,185213,298.4,298.5,298.2,299.2,25,17
20100113,22012.04,21748.6,21688.17,21990.68,3414190592,40022124,12717.96,12482.18,12420.33,12717.96,4165545728,32795652,221.46,219.17,219.01,220.82,116028576,4103536896,10866.62,10735.03,10729.86,10795.48,2500468224,1225614464,11732.34,11239.07,11220.57,11732.34,5193286656,69516296,1148.4,1145.68,1133.18,1137.31,854998016,27663772,300.13,295.55,295.37,300.13,1926849408,74880376.17,5239.2,5233.95,5169.55,5212.6,200774544,84304800,22051,22078,21680,21784,90592,83176,22020,22059,21673,21772,881,1869,12752,12763,12400,12499,46231,80086,12797,12797,12395,12488,757,1048,10780,10860,10710,10720,88088,306048,10730,10800,10660,10660,249,30860,221.45,221.65,219.1,219.7,351550,104117,222,222,220,220,77,1003,1134.25,1145.25,1129.25,1141.5,2110033,2475322,1128.75,1140,1124.5,1136.75,1174,5389,,,,11240,,,,,,11245,,,298.5,298.5,294.4,295.2,52065,187664,294.8,294.8,294.2,295.2,30,44
20100114,21988.93,21716.95,21707.1,21871.01,2338667520,31645938,12631.91,12363.37,12358.17,12535.8,3075404032,24612634,222.24,221.19,219.88,220.39,134055872,5224286720,10909.94,10907.68,10774.25,10778.07,2673349376,1215743744,11376.77,11350.83,11166.53,11239.07,3143725824,42447028,1150.41,1148.46,1143.8,1145.68,837162752,25809204,300.37,299.48,295.62,295.62,1659908369,73446688.47,5272.85,5259.9,5232.5,5234.5,171282624,78244320,21880,21995,21619,21664,68074,82603,21879,21982,21617,21661,612,1860,12520,12636,12348,12365,37885,81599,12495,12626,12344,12360,700,1239,10800,10910,10770,10890,67596,309806,10730,10850,10720,10840,269,30903,220.4,223.05,220.1,222.3,352696,99384,221,223.4,220.95,222.4,100,996,1141.5,1147,1138.25,1145.25,1346436,2473392,1138,1141.75,1133.75,1140.25,333,5357,,,,11355,,,,,,11355,,,296.8,300.3,296.4,299.2,36295,183916,296.1,296.2,296.1,299.3,382,232
20100115,21788.85,21654.16,21581.07,21715.09,2659842304,32272872,12477.41,12356.88,12297.26,12401.8,3388256256,27646440,223.69,223.21,221.12,222.33,156994176,5482573824,10982.1,10982.1,10878.83,10917.41,2529261056,1442735744,11448.61,11369.56,11242.21,11350.83,2647876352,36022444,1147.77,1136.03,1131.39,1147.72,1377474432,43246628,302.92,302.07,299.5,299.5,1991443767,86347199.29,5279.85,5252.2,5242.45,5259.9,167242352,69278736,21759,21785,21540,21553,68497,82588,21747,21770,21540,21560,1529,2309,12440,12475,12260,12285,33754,80464,12399,12455,12257,12272,1252,2053,10910,10980,10870,10970,78633,310823,10860,10910,10810,10910,450,31053,222.3,223.9,221.25,223,284325,99204,222.9,224.45,221.95,223.6,412,1069,1146.75,1147.25,1127.5,1132.25,2031715,2454453,1141.75,1142.25,1122.25,1127.5,1432,5936,,,,11370,,,,,,11370,,,299.4,302.6,299.3,302.2,40730,183301,299.7,301.4,299.7,301.4,20,243
